iter	Passed	Remaining
0	148	148648
1	149	74826
2	150	50145
3	152	37853
4	153	30450
5	153	25505
6	155	22014
7	156	19367
8	157	17328
9	158	15679
10	159	14329
11	160	13219
12	161	12268
13	162	11458
14	163	10756
15	164	10133
16	165	9583
17	166	9094
18	167	8657
19	168	8261
20	169	7920
21	171	7605
22	172	7314
23	173	7047
24	174	6807
25	175	6579
26	176	6369
27	178	6211
28	179	6025
29	180	5849
30	181	5682
31	182	5525
32	183	5382
33	184	5246
34	185	5116
35	186	4995
36	187	4880
37	188	4774
38	189	4672
39	190	4576
40	191	4482
41	192	4393
42	193	4316
43	194	4234
44	196	4165
45	197	4089
46	198	4016
47	199	3956
48	200	3896
49	201	3835
50	203	3778
51	204	3728
52	205	3672
53	206	3617
54	207	3563
55	208	3511
56	209	3461
57	210	3414
58	211	3366
59	212	3321
60	212	3278
61	214	3240
62	215	3199
63	216	3159
64	217	3123
65	218	3086
66	219	3051
67	220	3017
68	221	2982
69	221	2948
70	222	2915
71	224	2887
72	225	2857
73	225	2826
74	226	2796
75	227	2766
76	228	2742
77	230	2726
78	231	2703
79	233	2679
80	234	2655
81	235	2631
82	235	2603
83	236	2580
84	237	2557
85	238	2535
86	239	2513
87	240	2492
88	241	2471
89	242	2449
90	243	2432
91	244	2413
92	245	2394
93	246	2376
94	247	2358
95	248	2341
96	249	2323
97	250	2306
98	251	2288
99	252	2271
100	253	2254
101	254	2238
102	255	2222
103	256	2207
104	257	2191
105	258	2178
106	259	2167
107	260	2155
108	262	2142
109	263	2131
110	264	2118
111	265	2106
112	266	2091
113	267	2078
114	268	2065
115	269	2052
116	270	2038
117	271	2026
118	272	2015
119	273	2006
120	274	1996
121	275	1985
122	277	1977
123	285	2015
124	286	2007
125	288	2003
126	290	1995
127	291	1987
128	292	1978
129	294	1969
130	295	1961
131	296	1951
132	297	1941
133	299	1934
134	301	1929
135	302	1924
136	304	1915
137	305	1910
138	307	1902
139	308	1894
140	309	1886
141	310	1875
142	311	1866
143	312	1858
144	313	1850
145	314	1841
146	318	1846
147	319	1839
148	322	1839
149	323	1834
150	324	1826
151	326	1818
152	327	1811
153	328	1803
154	329	1795
155	331	1792
156	332	1785
157	333	1777
158	334	1770
159	335	1762
160	336	1754
161	338	1752
162	340	1748
163	342	1747
164	344	1742
165	345	1737
166	347	1732
167	348	1725
168	349	1720
169	351	1715
170	352	1709
171	353	1701
172	354	1694
173	355	1686
174	356	1678
175	356	1671
176	357	1663
177	358	1657
178	360	1652
179	361	1645
180	362	1639
181	363	1633
182	365	1630
183	367	1628
184	368	1623
185	369	1617
186	370	1612
187	371	1606
188	372	1599
189	373	1593
190	375	1588
191	376	1583
192	377	1577
193	378	1572
194	379	1566
195	380	1560
196	381	1554
197	382	1548
198	383	1543
199	384	1538
200	385	1532
201	386	1526
202	387	1520
203	388	1514
204	389	1510
205	390	1504
